10 Hz,12 Hz
0.32187,0.22687
0.32211,0.22099
0.32579,0.23224
0.33167,0.24186
0.32172,0.23225
0.322,0.21157
0.33014,0.20632
0.33086,0.19963
0.30668,0.19961
0.3093,0.2246
0.33879,0.24525
0.32769,0.23066
0.29849,0.21213
0.29376,0.19331
0.33395,0.20163
0.34744,0.20662
0.3092,0.20429
0.29492,0.20837
0.30932,0.20754
0.44277,0.26282
0.37417,0.24389
0.38414,0.25707
0.42228,0.26835
0.43022,0.30518
0.58416,0.39342
0.7185,0.45893
1.0019,0.6955
1.228,0.98592
1.6501,1.2002
1.0887,0.70679
0.4914,0.28261
0.34952,0.2204
0.31859,0.22831
0.31933,0.2311
0.32167,0.22242
0.34343,0.2399
0.33475,0.24043
0.34246,0.24895
0.33084,0.24356
0.3096,0.22801
0.30317,0.20956
0.31768,0.20899
0.31017,0.20178
0.27558,0.19189
0.29127,0.21291
0.33753,0.2423
0.3673,0.26048
0.36833,0.24364
0.3271,0.21291
0.29365,0.20105
0.27197,0.18412
0.32227,0.2037
0.36357,0.23682
0.29401,0.18847
0.28454,0.17652
0.30645,0.183
0.45324,0.26459
0.39835,0.2467
0.43421,0.29359
0.51112,0.33829
0.527,0.39495
0.74638,0.52241
0.76615,0.50685
1.1898,0.8851
